DATE,TN,TG,TX,RR,sfcwind,rsds,ps,rlds,hurs,LON,LAT
1961-01-01,2.176422,4.7456055,6.996643,0.62610626,3.4758005,60.265186,100721.29,277.4743,88.321785,-0.25,47.25
1961-01-02,7.0603943,9.974213,11.709625,9.06285,6.764112,20.989576,99543.48,342.05435,93.53263,-0.25,47.25
1961-01-03,4.0462036,7.0744934,11.374939,7.551192,6.3643866,44.480293,98340.77,303.93378,82.49444,-0.25,47.25
1961-01-04,2.5369263,5.3888855,8.94574,0.28071147,3.9675114,53.447163,99228.29,271.81528,88.422386,-0.25,47.25
1961-01-05,2.153778,4.4096985,6.502136,0.0,3.589452,54.89946,101052.016,285.67178,84.05365,-0.25,47.25
1961-01-06,3.7599487,7.369049,9.158234,13.382059,7.0184255,10.865801,100176.734,323.36224,88.42505,-0.25,47.25
1961-01-07,2.5804749,4.3486633,5.787964,8.379337,3.7425625,15.10958,100860.38,307.702,90.982376,-0.25,47.25
1961-01-08,7.6108704,9.063629,10.238556,2.3072124,4.219631,35.205822,100679.63,334.9426,94.28135,-0.25,47.25
1961-01-09,5.1416016,7.8403625,9.692383,4.047727,5.122945,38.184185,100678.86,312.13757,90.46075,-0.25,47.25
1961-01-10,5.9814453,7.393402,9.0781555,14.617827,4.7929225,10.792962,99406.77,341.04272,95.4661,-0.25,47.25
1961-01-11,0.22372437,4.017273,5.7552795,0.32671925,5.803431,49.771667,101130.42,288.02283,85.545105,-0.25,47.25
1961-01-12,-0.96661377,0.9223633,3.999939,0.0,3.8164918,56.510433,102377.23,240.13963,81.15107,-0.25,47.25
1961-01-13,-1.5232544,0.588501,4.53421,0.0,2.52563,73.18956,102554.72,238.03394,77.83464,-0.25,47.25
1961-01-14,-1.5401001,1.6086121,6.2803955,0.0,2.9421167,60.61163,102383.46,256.9783,81.5086,-0.25,47.25
1961-01-15,-1.3963928,0.36132812,1.5072937,0.375955,5.278577,36.863132,101617.34,291.41586,80.24971,-0.25,47.25
1961-01-16,-3.8485413,0.11383057,3.7917786,0.0,2.126851,61.85936,101137.24,258.92844,81.609856,-0.25,47.25
1961-01-17,-1.1806946,1.5451355,4.7460938,0.110020526,2.6666517,77.17999,101517.66,263.744,83.40198,-0.25,47.25
1961-01-18,-1.43573,1.3594666,5.2266846,0.0,3.0038984,60.41668,101732.22,251.24113,78.24931,-0.25,47.25
1961-01-19,0.40341187,3.828949,6.5186157,2.6163867,4.7169857,24.396734,101342.53,309.3261,87.75932,-0.25,47.25
1961-01-20,3.8606873,5.947357,8.414642,0.2436298,3.0868225,44.752594,101394.945,294.56454,94.252884,-0.25,47.25
1961-01-21,2.7945251,4.7991333,7.923645,0.0,2.7852597,70.776764,100780.71,276.28122,92.02037,-0.25,47.25
1961-01-22,2.9424133,5.359131,8.780334,0.0,3.2612925,64.59187,100173.94,286.16568,89.06812,-0.25,47.25
1961-01-23,4.3382263,5.883606,8.58493,0.2846724,2.52614,70.10472,100112.87,298.1036,88.44922,-0.25,47.25
1961-01-24,2.1110535,4.8788147,7.4426575,1.8790256,3.0868447,59.773674,99776.43,291.77237,94.16777,-0.25,47.25
1961-01-25,4.1623535,6.347168,8.291504,7.182618,4.47055,46.154057,98964.75,313.52136,90.34157,-0.25,47.25
1961-01-26,-2.4127197,0.7154541,3.1358643,0.27687842,2.859072,80.169334,101123.53,266.28848,74.4531,-0.25,47.25
1961-01-27,-1.5735779,0.48797607,2.5343628,5.06728,5.1574984,30.05046,101361.49,290.68582,72.374275,-0.25,47.25
1961-01-28,3.227234,7.0662537,10.629425,5.653021,6.295344,9.389531,100662.086,333.98438,91.62404,-0.25,47.25
1961-01-29,4.077484,7.2175903,9.124695,1.3463585,6.4110255,31.083199,101378.62,302.20374,89.88205,-0.25,47.25
1961-01-30,9.105591,10.251892,11.157928,15.654688,9.653314,12.617501,100391.75,355.15,89.70953,-0.25,47.25
1961-01-31,7.921051,9.809021,11.515808,4.2157984,6.718333,50.481007,100213.72,333.4517,86.5607,-0.25,47.25
1961-02-01,5.41864,7.3105774,8.544037,4.849481,4.9572744,41.403343,100238.555,308.8797,86.61337,-0.25,47.25
1961-02-02,7.3143005,9.203888,10.392731,3.6556792,7.790181,68.18502,99733.3,329.6109,82.710434,-0.25,47.25
1961-02-03,4.7474976,7.2087708,9.168884,0.36600414,6.227649,64.50912,100411.19,292.2657,77.87919,-0.25,47.25
1961-02-04,4.1994934,8.660156,10.715485,4.6012015,6.08773,30.881474,100959.04,333.214,92.24213,-0.25,47.25
1961-02-05,6.811676,10.173798,12.025604,2.0839581,4.091801,44.822277,100891.16,339.00815,93.38757,-0.25,47.25
1961-02-06,6.288147,8.24762,12.07019,1.5385555,6.533272,40.392197,100584.41,312.93124,85.943504,-0.25,47.25
1961-02-07,4.8476257,6.8481445,9.433807,0.0,4.2942605,62.36788,101468.44,285.52667,81.12704,-0.25,47.25
1961-02-08,5.36911,8.011902,10.403687,0.44365478,4.1388583,42.59306,101700.33,320.62717,93.317635,-0.25,47.25
1961-02-09,5.4798584,9.848633,12.562653,0.8745188,4.297807,88.26246,102234.03,318.08218,84.92408,-0.25,47.25
1961-02-10,5.135803,7.2170105,9.999786,0.0,2.538519,79.02141,102475.234,283.07346,87.18892,-0.25,47.25
1961-02-11,3.948639,8.724823,11.721344,0.42015114,3.3840287,40.92497,101860.016,325.22824,94.25893,-0.25,47.25
1961-02-12,8.465454,10.450104,12.424988,0.34867615,2.7191467,56.896366,101787.23,344.45312,91.29796,-0.25,47.25
1961-02-13,6.0574036,9.35672,13.647736,0.0,2.4932563,63.834427,101498.62,301.59375,87.65022,-0.25,47.25
1961-02-14,7.055664,9.64679,13.208252,0.0,3.1717691,86.76171,101439.64,302.0969,87.31987,-0.25,47.25
1961-02-15,7.4898376,9.916138,12.796631,0.0,1.664428,63.702793,101954.15,324.35443,87.84463,-0.25,47.25
1961-02-16,5.2735596,9.983551,14.158264,0.0,2.0798738,90.78529,102296.49,307.5771,87.47027,-0.25,47.25
1961-02-17,5.7209473,8.499298,12.312439,0.0,2.8735232,130.94362,102093.11,274.3017,78.326065,-0.25,47.25
1961-02-18,3.0819702,7.5386963,14.568695,0.0,1.9366084,130.49812,102529.34,269.4797,79.75528,-0.25,47.25
1961-02-19,3.8613281,7.780609,12.875977,0.0,2.8046029,134.01321,102822.875,270.8681,86.78822,-0.25,47.25
1961-02-20,2.2946167,6.11911,10.570435,0.0,2.95493,121.69485,102194.16,271.97028,86.24039,-0.25,47.25
1961-02-21,2.5115662,7.151642,13.970703,0.0,1.6156063,139.32907,101734.51,269.30942,80.25243,-0.25,47.25
1961-02-22,2.174652,7.5742493,13.451294,0.0,1.7788715,139.035,101445.07,271.5428,77.05509,-0.25,47.25
